entropy,shap_distance,zdcs,prediction_prob,attack_category
0.31102082107429024,0.6050072908401489,0.45801405595721956,0.94408256,Analysis
0.0018757044286231374,0.3316164016723633,0.1667460530504932,0.9998692,Analysis
0.0017939742084993897,0.3040919303894043,0.15294295229895186,0.99987555,Analysis
0.0024862767654512197,0.10478031635284424,0.05363329655914773,0.999821,Analysis
0.0016712830618075987,0.4235372543334961,0.21260426869765184,0.99988496,Analysis
0.0032009081793043276,0.5026041269302368,0.25290251755477056,0.9997626,Analysis
0.0009258385375463908,0.10427635908126831,0.05260109880940735,0.99994016,Analysis
0.0009174726900638445,0.12136948108673096,0.0611434768883974,0.99994075,Analysis
0.014901804934370058,0.27405601739883423,0.14447891116660214,0.99864095,Analysis
0.0020348189479001974,0.10435473918914795,0.05319477906852407,0.9998568,Analysis
0.0015064726249315531,0.0850638747215271,0.04328517367322933,0.9998975,Analysis
0.0014383565783223945,0.3106221556663513,0.15603025612233687,0.9999026,Analysis
0.00132341901079897,0.30757999420166016,0.15445170660622956,0.9999112,Analysis
0.8660579364553951,0.8766691088676453,0.8713635226615202,0.28794962,Analysis
0.0004224215113022392,0.16454845666885376,0.082485439090078,0.9999747,Analysis
0.8425982130078264,0.740115761756897,0.7913569873823617,0.72920847,Analysis
0.0024268298872889217,0.32759517431259155,0.16501100209994024,0.9998258,Analysis
0.0011242251439913464,0.3218504786491394,0.16148735189656538,0.99992585,Analysis
0.0005692769762233883,0.096122145652771,0.04834571131449719,0.99996495,Analysis
0.0005427450413639392,0.05992072820663452,0.03023173662399923,0.99996674,Analysis
0.0006062018948937542,0.08529478311538696,0.04295049250514036,0.99996245,Analysis
0.001246135398754244,0.2864304780960083,0.14383830674738127,0.9999169,Analysis
0.002471432344946816,0.20156633853912354,0.10201888544203518,0.9998222,Analysis
0.0013969824903079429,0.10034197568893433,0.05086947908962113,0.9999057,Analysis
0.7231880787740155,0.710336446762085,0.7167622627680502,0.7993691,Analysis
0.006562258033068448,0.4141243100166321,0.21034328402485025,0.9994672,Analysis
0.0010684571661960646,0.30573374032974243,0.15340109874796926,0.9999299,Analysis
0.0011176810697645706,0.10086822509765625,0.05099295308371041,0.9999263,Analysis
0.001871089952712536,0.10615181922912598,0.05401145459091926,0.9998696,Analysis
0.0024402216926104033,0.12050992250442505,0.06147507209851773,0.9998247,Analysis
0.0012542116133447854,0.04260706901550293,0.021930640314423856,0.9999163,Analysis
0.0015773608840750296,0.10498803853988647,0.053282699711980755,0.9998921,Analysis
0.8484279089241231,0.7263093590736389,0.787368633998881,0.725086,Analysis
0.0011470944698091054,0.2990518808364868,0.15009948765314796,0.9999242,Analysis
0.9980338970831717,0.761515736579895,0.8797748168315334,0.47390202,Analysis
0.001384222603662117,0.0858415961265564,0.043612909365109254,0.99990666,Analysis
0.0007755576955116216,0.07928729057312012,0.04003142413431587,0.99995077,Analysis
0.0017506105633734916,0.25920671224594116,0.13047866140465733,0.9998789,Analysis
0.9832941239909747,0.7924516201019287,0.8878728720464517,0.42405635,Analysis
0.0020971132810065655,0.3279241919517517,0.16501065261637915,0.99985194,Analysis
0.0012007930294084827,0.2956523895263672,0.14842659127788785,0.99992025,Analysis
0.0015474783946321942,0.3153618574142456,0.1584546679044389,0.9998944,Analysis
0.0005991875975939772,0.17052876949310303,0.0855639785453485,0.9999629,Analysis
0.0020241593825828528,0.11034995317459106,0.05618705627858696,0.99985766,Analysis
0.0015773608840750296,0.06428134441375732,0.03292935264891618,0.9998921,Analysis
0.0011307645995434165,0.09475356340408325,0.04794216400181334,0.9999254,Analysis
0.0024506310097345977,0.07378637790679932,0.03811850445826696,0.99982387,Analysis
0.5144105566767005,0.6892361044883728,0.6018233305825367,0.88513756,Analysis
0.0034308980254356878,0.436235249042511,0.21983307353397333,0.9997434,Analysis
0.002166727457738474,0.1075814962387085,0.05487411184822349,0.99984646,Analysis
0.0052022860748647355,0.1210559606552124,0.06312912336503856,0.9995902,Analysis
